ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,STATE,COUNTRY
11 Stockton Ln,Stony Brook,NY,11790,NY 11790,USA
4 Intervale Rd,Setauket,NY,11733,NY 11733,USA
23 Hawkins Rd,Stony Brook,NY,11790,NY 11790,USA
133 Quaker Path,Setauket,NY,11733,NY 11733,USA
503 Elton Ct,St. James,NY,11780,NY 11780,USA
211 Elton Ct W,St. James,NY,11780,NY 11780,USA
602 Drew Dr,St. James,NY,11780,NY 11780,USA
95 University Heights Dr,Stony Brook,NY,11790,NY 11790,USA
601 Alden Ct E,St. James,NY,11780,NY 11780,USA
8 Gaslight Way,Stony Brook,NY,11790,NY 11790,USA
14 College Dr,Stony Brook,NY,11790,NY 11790,USA
1155 N Country Rd,Stony Brook,NY,11790,NY 11790,USA
272 Hallock Rd,Stony Brook,NY,11790,NY 11790,USA
19 Old Wood Rd,Stony Brook,NY,11790,NY 11790,USA
1 Toga Drive Dr,Stony Brook,NY,11790,NY 11790,USA
7 Hunters Ct,Setauket,NY,11733,NY 11733,USA
10 Seward Ln,Stony Brook,NY,11790,NY 11790,USA
25 Blinker Light Rd,Stony Brook,NY,11790,NY 11790,USA
15 Haskell Ln,Stony Brook,NY,11790,NY 11790,USA
8 Sandstone Ln,Stony Brook,NY,11790,NY 11790,USA
30 Pembrook Dr,Stony Brook,NY,11790,NY 11790,USA
8 Dogwood Dr,Stony Brook,NY,11790,NY 11790,USA
3 Baron Ct,Stony Brook,NY,11790,NY 11790,USA
64 Hollow Rd,Stony Brook,NY,11790,NY 11790,USA
14 Sandstone Ln,Stony Brook,NY,11790,NY 11790,USA
2 Parish Ct,Stony Brook,NY,11790,NY 11790,USA
2 Brook Dr,Stony Brook,NY,11790,NY 11790,USA
52 Arbor Field Way,Lake Grove,NY,11755,NY 11755,USA
44 Strathmore Gate Dr,Stony Brook,NY,11790,NY 11790,USA
23A Cedar Dr,Stony Brook,NY,11790,NY 11790,USA
32 Seville Ln,Stony Brook,NY,11790,NY 11790,USA
15 Hollow Rd,Stony Brook,NY,11790,NY 11790,USA
10 Lotowana Ln,Stony Brook,NY,11790,NY 11790,USA
12 Hillside Rd,Stony Brook,NY,11790,NY 11790,USA
2 Madeley Ln,Stony Brook,NY,11790,NY 11790,USA
5 Fox Meadow Ln,St. James,NY,11780,NY 11780,USA
3 Conscience Bow,E. Setauket,NY,11733,NY 11733,USA
11 Von Hagen Ave,St. James,NY,11780,NY 11780,USA
77 Sycamore Cir,Stony Brook,NY,11790,NY 11790,USA
24 Sheppard Ln,Stony Brook,NY,11790,NY 11790,USA
208 Drew Dr,St. James,NY,11780,NY 11780,USA
Moriches Rd,Head Of Harbor,NY,11780,NY 11780,USA
7 Ivy League Ln,Stony Brook,NY,11790,NY 11790,USA
4 Ingrid Rd,Setauket,NY,11733,NY 11733,USA
1409 Stony Brook Rd,Stony Brook,NY,11790,NY 11790,USA
1411 Stony Brook Rd,Stony Brook,NY,11790,NY 11790,USA
16 Hawks Nest Rd,Stony Brook,NY,11790,NY 11790,USA
3 Fraternity Ln,Stony Brook,NY,11790,NY 11790,USA
1277 N Country,Stony Brook,NY,11790,NY 11790,USA
21 Elderwood Dr,St. James,NY,11780,NY 11780,USA
14 Parson Dr,Stony Brook,NY,11790,NY 11790,USA
199-1 Moriches Rd,St. James,NY,11780,NY 11780,USA
19A Cedar Dr,Stony Brook,NY,11790,NY 11790,USA
11 College Dr,Stony Brook,NY,11790,NY 11790,USA
100 University Heigh Dr,Stony Brook,NY,11790,NY 11790,USA
58 Quaker Path,Stony Brook,NY,11790,NY 11790,USA
1 University Heights Dr,Stony Brook,NY,11790,NY 11790,USA
1449 Stony Brook Rd,Stony Brook,NY,11790,NY 11790,USA
11 Midwood Rd,Stony Brook,NY,11790,NY 11790,USA
33 Hillside Rd,Stony Brook,NY,11790,NY 11790,USA
,Stony Brook,NY,11790,NY 11790,USA
47 Main St,Stony Brook,NY,11790,NY 11790,USA
1257 N Country Rd,Stony Brook,NY,11790,NY 11790,USA
Lot 2 N Country Rd,Stony Brook,NY,11790,NY 11790,USA
18 University Hts D,Stony Brook,NY,11790,NY 11790,USA
18 Emmet Dr,Stony Brook,NY,11790,NY 11790,USA
2 Stuyvesant Ave,E. Setauket,NY,11733,NY 11733,USA
6 Bayberry Ln,Stony Brook,NY,11790,NY 11790,USA
